"conceptId","fsn","synonyms"
"13194006","Closed fracture of T7-T12 level with anterior cord syndrome (disorder)","Anterior cord syndrome co-occurrent and due to closed fracture of T7-T12 level | Anterior cord syndrome due to closed fracture of T7-T12 level | Closed fracture of T7-T12 level with anterior cord syndrome"
"8183009","Closed fracture of T7-T12 level with central cord syndrome (disorder)","Closed fracture of T7-T12 level with central cord syndrome"
"8183009","Closed fracture of T7-T12 level with central cord syndrome (disorder)","Closed fracture of T7-T12 level with central cord syndrome"
"20540005","Closed fracture of T7-T12 level with complete lesion of cord (disorder)","Closed fracture of T7-T12 level with complete lesion of cord"
"18960007","Closed fracture of T7-T12 level with incomplete spinal cord lesion (disorder)","Closed fracture of T7-T12 level with incomplete spinal cord lesion"
"18960007","Closed fracture of T7-T12 level with incomplete spinal cord lesion (disorder)","Closed fracture of T7-T12 level with incomplete spinal cord lesion"
"41133002","Closed fracture of T7-T12 level with posterior cord syndrome (disorder)","Closed fracture of T7-T12 level with posterior cord syndrome | Posterior cord syndrome due to closed fracture of T7-T12 level"
"41133002","Closed fracture of T7-T12 level with posterior cord syndrome (disorder)","Closed fracture of T7-T12 level with posterior cord syndrome | Posterior cord syndrome due to closed fracture of T7-T12 level"
"72513001","Closed fracture of T7-T12 level with spinal cord injury (disorder)","Closed fracture of T7-T12 level with spinal cord injury"
"72513001","Closed fracture of T7-T12 level with spinal cord injury (disorder)","Closed fracture of T7-T12 level with spinal cord injury"
"870550000","Closed fracture of base of skull with cerebral laceration (disorder)","Closed fracture of base of skull with cerebral laceration"
"91589002","Closed fracture of base of skull with cerebral laceration AND/OR contusion (disorder)","Cerebral laceration AND/OR contusion co-occurrent and due to closed fracture of base of skull | Closed fracture of base of skull with cerebral laceration AND/OR contusion"
"91589002","Closed fracture of base of skull with cerebral laceration AND/OR contusion (disorder)","Cerebral laceration AND/OR contusion co-occurrent and due to closed fracture of base of skull | Closed fracture of base of skull with cerebral laceration AND/OR contusion"
"91589002","Closed fracture of base of skull with cerebral laceration AND/OR contusion (disorder)","Cerebral laceration AND/OR contusion co-occurrent and due to closed fracture of base of skull | Closed fracture of base of skull with cerebral laceration AND/OR contusion"
"81442004","Closed fracture of cervical region with spinal cord injury (disorder)","Closed fracture of cervical region with spinal cord injury"
"207998001","Closed fracture of cervical spine with cord lesion (disorder)","Closed fracture of cervical spine with cord lesion"
"207998001","Closed fracture of cervical spine with cord lesion (disorder)","Closed fracture of cervical spine with cord lesion"
"207998001","Closed fracture of cervical spine with cord lesion (disorder)","Closed fracture of cervical spine with cord lesion"
"207998001","Closed fracture of cervical spine with cord lesion (disorder)","Closed fracture of cervical spine with cord lesion"
"208011006","Closed fracture of cervical spine with spinal cord lesion NOS (disorder)","Closed fracture of cervical spine with spinal cord lesion NOS"
"208084009","Closed fracture of coccyx with complete cauda equina lesion (disorder)","Closed fracture of coccyx with complete cauda equina lesion | Complete cauda equina lesion co-occurrent and due to closed fracture of coccyx"
"208084009","Closed fracture of coccyx with complete cauda equina lesion (disorder)","Closed fracture of coccyx with complete cauda equina lesion | Complete cauda equina lesion co-occurrent and due to closed fracture of coccyx"
"208085005","Closed fracture of coccyx with other cauda equina injury (disorder)","Closed fracture of coccyx with other cauda equina injury"
"208086006","Closed fracture of coccyx with other spinal cord injury (disorder)","Closed fracture of coccyx with other spinal cord injury"
"208082008","Closed fracture of coccyx with spinal cord lesion (disorder)","Closed fracture of coccyx with spinal cord lesion"
"208082008","Closed fracture of coccyx with spinal cord lesion (disorder)","Closed fracture of coccyx with spinal cord lesion"
"208087002","Closed fracture of coccyx with spinal cord lesion NOS (disorder)","Closed fracture of coccyx with spinal cord lesion NOS"
"208083003","Closed fracture of coccyx with unspecified spinal cord lesion (disorder)","Closed fracture of coccyx with unspecified spinal cord lesion"
"208054001","Closed fracture of lumbar spine with spinal cord lesion (disorder)","Closed fracture of lumbar spine with spinal cord lesion"
"208054001","Closed fracture of lumbar spine with spinal cord lesion (disorder)","Closed fracture of lumbar spine with spinal cord lesion"
"208054001","Closed fracture of lumbar spine with spinal cord lesion (disorder)","Closed fracture of lumbar spine with spinal cord lesion"
"49747005","Closed fracture of lumbar vertebra with spinal cord injury (disorder)","Closed fracture of lumbar vertebra with spinal cord injury"
"123534001","Closed fracture of sacrum AND/OR coccyx with cauda equina injury (disorder)","Cauda equina injury co-occurrent and due to closed fracture of sacrum AND/OR coccyx | Closed fracture of sacrum AND/OR coccyx with cauda equina injury"
"41455002","Closed fracture of sacrum AND/OR coccyx with complete cauda equina lesion (disorder)","Closed fracture of sacrum AND/OR coccyx with complete cauda equina lesion | Complete cauda equina lesion co-occurrent and due to closed fracture of sacrum AND/OR coccyx"
"14584002","Closed fracture of sacrum AND/OR coccyx with spinal cord injury (disorder)","Closed fracture of sacrum AND/OR coccyx with spinal cord injury"
"14584002","Closed fracture of sacrum AND/OR coccyx with spinal cord injury (disorder)","Closed fracture of sacrum AND/OR coccyx with spinal cord injury"
"208071000","Closed fracture of sacrum with complete cauda equina lesion (disorder)","Closed fracture of sacrum with complete cauda equina lesion | Complete cauda equina lesion co-occurrent and due to closed fracture of sacrum"
"208071000","Closed fracture of sacrum with complete cauda equina lesion (disorder)","Closed fracture of sacrum with complete cauda equina lesion | Complete cauda equina lesion co-occurrent and due to closed fracture of sacrum"
"208072007","Closed fracture of sacrum with other cauda equina injury (disorder)","Closed fracture of sacrum with other cauda equina injury"
"208073002","Closed fracture of sacrum with other spinal cord injury (disorder)","Closed fracture of sacrum with other spinal cord injury"
"208069000","Closed fracture of sacrum with spinal cord lesion (disorder)","Closed fracture of sacrum with spinal cord lesion"
"208069000","Closed fracture of sacrum with spinal cord lesion (disorder)","Closed fracture of sacrum with spinal cord lesion"
"208075009","Closed fracture of sacrum with spinal cord lesion NOS (disorder)","Closed fracture of sacrum with spinal cord lesion NOS"
"208070004","Closed fracture of sacrum with unspecified spinal cord lesion (disorder)","Closed fracture of sacrum with unspecified spinal cord lesion"
"870548008","Closed fracture of skull with cerebral laceration (disorder)","Closed fracture of skull with cerebral laceration"
"208094004","Closed fracture of spine with spinal cord lesion unspecified (disorder)","Closed fracture of spine with spinal cord lesion unspecified"
"44434003","Closed fracture of thoracic spine with spinal cord injury (disorder)","Closed fracture of thoracic region with spinal cord injury | Closed fracture of thoracic spine with spinal cord injury"
"208026008","Closed fracture of thoracic spine with spinal cord lesion (disorder)","Closed fracture of thoracic spine with spinal cord lesion"
"208026008","Closed fracture of thoracic spine with spinal cord lesion (disorder)","Closed fracture of thoracic spine with spinal cord lesion"
"208026008","Closed fracture of thoracic spine with spinal cord lesion (disorder)","Closed fracture of thoracic spine with spinal cord lesion"
"208039007","Closed fracture of thoracic spine with spinal cord lesion NOS (disorder)","Closed fracture of thoracic spine with spinal cord lesion NOS"
"22383006","Closed fracture of vault of skull with cerebral laceration AND/OR contusion (disorder)","Closed fracture of vault of skull with cerebral laceration AND/OR contusion"
"22383006","Closed fracture of vault of skull with cerebral laceration AND/OR contusion (disorder)","Closed fracture of vault of skull with cerebral laceration AND/OR contusion"
"22973003","Closed fracture of vertebral column with spinal cord injury (disorder)","Closed fracture of vertebral column with spinal cord injury"
"22973003","Closed fracture of vertebral column with spinal cord injury (disorder)","Closed fracture of vertebral column with spinal cord injury"
"209324007","Closed fracture subluxation, interphalangeal joint thumb (disorder)","Closed fracture subluxation of interphalangeal joint of thumb | Closed fracture subluxation, interphalangeal joint thumb"
"209324007","Closed fracture subluxation, interphalangeal joint thumb (disorder)","Closed fracture subluxation of interphalangeal joint of thumb | Closed fracture subluxation, interphalangeal joint thumb"
"208434009","Closed fracture thumb proximal phalanx (disorder)","Closed fracture thumb proximal phalanx"
"208434009","Closed fracture thumb proximal phalanx (disorder)","Closed fracture thumb proximal phalanx"
"208435005","Closed fracture thumb proximal phalanx, base (disorder)","Closed fracture thumb proximal phalanx, base"
"208435005","Closed fracture thumb proximal phalanx, base (disorder)","Closed fracture thumb proximal phalanx, base"
"208438007","Closed fracture thumb proximal phalanx, head (disorder)","Closed fracture thumb proximal phalanx, head"
"208438007","Closed fracture thumb proximal phalanx, head (disorder)","Closed fracture thumb proximal phalanx, head"
"208437002","Closed fracture thumb proximal phalanx, neck (disorder)","Closed fracture thumb proximal phalanx, neck"
"208437002","Closed fracture thumb proximal phalanx, neck (disorder)","Closed fracture thumb proximal phalanx, neck"
"208436006","Closed fracture thumb proximal phalanx, shaft (disorder)","Closed fracture thumb proximal phalanx, shaft"
"208436006","Closed fracture thumb proximal phalanx, shaft (disorder)","Closed fracture thumb proximal phalanx, shaft"
"88651008","Closed skull fracture with cerebral laceration AND/OR contusion (disorder)","Cerebral laceration AND/OR contusion co-occurrent and due to closed skull fracture | Closed skull fracture with cerebral laceration AND/OR contusion"
"88651008","Closed skull fracture with cerebral laceration AND/OR contusion (disorder)","Cerebral laceration AND/OR contusion co-occurrent and due to closed skull fracture | Closed skull fracture with cerebral laceration AND/OR contusion"
"253117002","Closed spina bifida with Arnold-Chiari malformation (disorder)","Closed spina bifida with Arnold-Chiari malformation"
"253117002","Closed spina bifida with Arnold-Chiari malformation (disorder)","Closed spina bifida with Arnold-Chiari malformation"
"208001004","Closed spinal fracture with anterior cervical cord lesion, C1-4 (disorder)","Closed spinal fracture with anterior cervical cord lesion, C1-4"
"208007000","Closed spinal fracture with anterior cervical cord lesion, C5-7 (disorder)","Closed spinal fracture with anterior cervical cord lesion, C5-7"
"208057008","Closed spinal fracture with anterior lumbar cord lesion (disorder)","Closed spinal fracture with anterior lumbar cord lesion"
"208057008","Closed spinal fracture with anterior lumbar cord lesion (disorder)","Closed spinal fracture with anterior lumbar cord lesion"
"208057008","Closed spinal fracture with anterior lumbar cord lesion (disorder)","Closed spinal fracture with anterior lumbar cord lesion"
"208029001","Closed spinal fracture with anterior thoracic cord lesion, T1-6 (disorder)","Closed spinal fracture with anterior thoracic cord lesion, T1-6"
"208029001","Closed spinal fracture with anterior thoracic cord lesion, T1-6 (disorder)","Closed spinal fracture with anterior thoracic cord lesion, T1-6"
"208029001","Closed spinal fracture with anterior thoracic cord lesion, T1-6 (disorder)","Closed spinal fracture with anterior thoracic cord lesion, T1-6"
"208035001","Closed spinal fracture with anterior thoracic cord lesion,T7-12 (disorder)","Closed spinal fracture with anterior thoracic cord lesion,T7-12"
"208060001","Closed spinal fracture with cauda equina lesion (disorder)","Cauda equina lesion co-occurrent and due to closed spinal fracture | Closed spinal fracture with cauda equina lesion"
"208060001","Closed spinal fracture with cauda equina lesion (disorder)","Cauda equina lesion co-occurrent and due to closed spinal fracture | Closed spinal fracture with cauda equina lesion"
"208002006","Closed spinal fracture with central cervical cord lesion , C1-4 (disorder)","Closed spinal fracture with central cervical cord lesion , C1-4 | Closed spinal fracture with central cervical cord lesion, C1-4"
"208008005","Closed spinal fracture with central cervical cord lesion, C5-7 (disorder)","Closed spinal fracture with central cervical cord lesion, C5-7"
"208058003","Closed spinal fracture with central lumbar cord lesion (disorder)","Closed spinal fracture with central lumbar cord lesion"
"208058003","Closed spinal fracture with central lumbar cord lesion (disorder)","Closed spinal fracture with central lumbar cord lesion"
"208058003","Closed spinal fracture with central lumbar cord lesion (disorder)","Closed spinal fracture with central lumbar cord lesion"
"208030006","Closed spinal fracture with central thoracic cord lesion, T1-6 (disorder)","Closed spinal fracture with central thoracic cord lesion, T1-6"
"208036000","Closed spinal fracture with central thoracic cord lesion, T7-12 (disorder)","Closed spinal fracture with central thoracic cord lesion, T7-12"
"208000003","Closed spinal fracture with complete cervical cord lesion, C1-4 (disorder)","Closed spinal fracture with complete cervical cord lesion, C1-4"
"208000003","Closed spinal fracture with complete cervical cord lesion, C1-4 (disorder)","Closed spinal fracture with complete cervical cord lesion, C1-4"
"208006009","Closed spinal fracture with complete cervical cord lesion, C5-7 (disorder)","Closed spinal fracture with complete cervical cord lesion, C5-7"
"208006009","Closed spinal fracture with complete cervical cord lesion, C5-7 (disorder)","Closed spinal fracture with complete cervical cord lesion, C5-7"
"208056004","Closed spinal fracture with complete lumbar cord lesion (disorder)","Closed spinal fracture with complete lumbar cord lesion"
"208056004","Closed spinal fracture with complete lumbar cord lesion (disorder)","Closed spinal fracture with complete lumbar cord lesion"
"208028009","Closed spinal fracture with complete thoracic cord lesion, T1-6 (disorder)","Closed spinal fracture with complete thoracic cord lesion, T1-6"
"208028009","Closed spinal fracture with complete thoracic cord lesion, T1-6 (disorder)","Closed spinal fracture with complete thoracic cord lesion, T1-6"
"208034002","Closed spinal fracture with complete thoracic cord lesion,T7-12 (disorder)","Closed spinal fracture with complete thoracic cord lesion,T7-12"
"208034002","Closed spinal fracture with complete thoracic cord lesion,T7-12 (disorder)","Closed spinal fracture with complete thoracic cord lesion,T7-12"
"208004007","Closed spinal fracture with incomplete cervical cord lesion, C1-4 not otherwise specified (disorder)","Closed spinal fracture with incomplete cervical cord lesion, C1-4 not otherwise specified"
"208010007","Closed spinal fracture with incomplete cervical cord lesion, C5-7 not otherwise specified (disorder)","Closed spinal fracture with incomplete cervical cord lesion, C5-7 not otherwise specified"
"208032003","Closed spinal fracture with incomplete thoracic cord lesion, T1-6 not otherwise specified (disorder)","Closed spinal fracture with incomplete thoracic cord lesion, T1-6 not otherwise specified"
"208038004","Closed spinal fracture with incomplete thoracic cord lesion,T7-12 not otherwise specified (disorder)","Closed spinal fracture with incomplete thoracic cord lesion,T7-12 not otherwise specified"
"208003001","Closed spinal fracture with posterior cervical cord lesion, C1-4 (disorder)","Closed spinal fracture with posterior cervical cord lesion, C1-4"
"208009002","Closed spinal fracture with posterior cervical cord lesion, C5-7 (disorder)","Closed spinal fracture with posterior cervical cord lesion, C5-7"
"208059006","Closed spinal fracture with posterior lumbar cord lesion (disorder)","Closed spinal fracture with posterior lumbar cord lesion"
"208059006","Closed spinal fracture with posterior lumbar cord lesion (disorder)","Closed spinal fracture with posterior lumbar cord lesion"
"208059006","Closed spinal fracture with posterior lumbar cord lesion (disorder)","Closed spinal fracture with posterior lumbar cord lesion"
"208031005","Closed spinal fracture with posterior thoracic cord lesion, T1-6 (disorder)","Closed spinal fracture with posterior thoracic cord lesion, T1-6"
"208037009","Closed spinal fracture with posterior thoracic cord lesion, T7-12 (disorder)","Closed spinal fracture with posterior thoracic cord lesion, T7-12"
"207999009","Closed spinal fracture with unspecified cervical cord lesion, C1-4 (disorder)","Closed spinal fracture with unspecified cervical cord lesion, C1-4"
"208005008","Closed spinal fracture with unspecified cervical cord lesion, C5-7 (disorder)","Closed spinal fracture with unspecified cervical cord lesion, C5-7"
"208055000","Closed spinal fracture with unspecified lumbar cord lesion (disorder)","Closed spinal fracture with unspecified lumbar cord lesion"
"208027004","Closed spinal fracture with unspecified thoracic cord lesion, T1-6 (disorder)","Closed spinal fracture with unspecified thoracic cord lesion, T1-6"
"208033008","Closed spinal fracture with unspecified thoracic cord lesion,T7-12 (disorder)","Closed spinal fracture with unspecified thoracic cord lesion,T7-12"
"209179005","Closed spinal subluxation with anterior lumbar cord lesion (disorder)","Closed spinal subluxation with anterior lumbar cord lesion"
"209179005","Closed spinal subluxation with anterior lumbar cord lesion (disorder)","Closed spinal subluxation with anterior lumbar cord lesion"
"209179005","Closed spinal subluxation with anterior lumbar cord lesion (disorder)","Closed spinal subluxation with anterior lumbar cord lesion"
"209179005","Closed spinal subluxation with anterior lumbar cord lesion (disorder)","Closed spinal subluxation with anterior lumbar cord lesion"
"209179005","Closed spinal subluxation with anterior lumbar cord lesion (disorder)","Closed spinal subluxation with anterior lumbar cord lesion"
"269147009","Closed traumatic extradural hemorrhage (disorder)","Closed traumatic extradural haemorrhage | Closed traumatic extradural hemorrhage"
"42443006","Clostridial wound infection in animal (disorder)","Clostridial wound infection in animal"
"42443006","Clostridial wound infection in animal (disorder)","Clostridial wound infection in animal"
"402848007","Clothing purpura (disorder)","Clothing purpura"
"4373005","Clubbing of nail (disorder)","Club nail | Clubbing of nail | Hippocratic nail | Hippocratic nails | Increased curvature of nails"
"4373005","Clubbing of nail (disorder)","Club nail | Clubbing of nail | Hippocratic nail | Hippocratic nails | Increased curvature of nails"
"403299004","Clubbing of nails associated with systemic disorder (disorder)","Acquired Hippocratic nails | Acquired clubbing of nails | Clubbing of nails associated with systemic disorder"
"403299004","Clubbing of nails associated with systemic disorder (disorder)","Acquired Hippocratic nails | Acquired clubbing of nails | Clubbing of nails associated with systemic disorder"
"53148007","Clubbing of toes (disorder)","Clubbing of toes"
"1348303000","Coagulation factor XII-associated cold autoinflammatory syndrome (disorder)","Coagulation factor XII-associated cold autoinflammatory syndrome | F12-associated cold autoinflammatory syndrome | FACAS - F12-associated cold autoinflammatory syndrome"
"360455002","Coats' disease (disorder)","Coats syndrome | Coats' disease | Leber's miliary aneurysms | Miliary aneurysms of retina"
"254774003","Cobb's syndrome (disorder)","Cobb syndrome | Cobb's syndrome"
"403748005","Cocaine-induced acrocyanosis and livedo reticularis (disorder)","Cocaine-induced acrocyanosis and livedo reticularis | Cocainism"
"65696007","Coccidioidal granuloma (disorder)","Coccidioidal granuloma"
"65696007","Coccidioidal granuloma (disorder)","Coccidioidal granuloma"
"41030002","Coccidioidomycosis with erythema multiforme (disorder)","Coccidioidomycosis with erythema multiforme"
"78223000","Coccidioidomycosis with erythema nodosum (disorder)","Coccidioidomycosis with erythema nodosum | Erythema nodosum due to coccidioidomycosis"
"78223000","Coccidioidomycosis with erythema nodosum (disorder)","Coccidioidomycosis with erythema nodosum | Erythema nodosum due to coccidioidomycosis"
"254804007","Cockade nevus (disorder)","Cockade naevus | Cockade nevus"
"403188005","Cold burn (disorder)","Cold burn"
"385511004","Cold burn - liquid nitrogen (disorder)","Cold burn - liquid nitrogen"
"385511004","Cold burn - liquid nitrogen (disorder)","Cold burn - liquid nitrogen"
"238507008","Cold erythema (disorder)","Cold erythema | Cold erythema - disorder"
"68312001","Cold erythema associated with cold agglutinins (disorder)","Cold erythema associated with cold agglutinins"
"47149005","Cold erythema associated with cryoglobulin (disorder)","Cold erythema associated with cryoglobulin"
"30048004","Cold erythema associated with hemolysins (disorder)","Cold erythema associated with haemolysins | Cold erythema associated with hemolysins"
"238929002","Cold flexed fingers (disorder)","Cold flexed fingers"
"66487006","Cold panniculitis (disorder)","Adiponecrosis e frigore | Cold panniculitis | Haxthausen's disease | Haxthausen's syndrome"
"397768002","Cold panniculitis (disorder)","Adiponecrosis e frigore | Cold panniculitis"
"397768002","Cold panniculitis (disorder)","Adiponecrosis e frigore | Cold panniculitis"
"238688005","Cold reflex urticaria (disorder)","Cold reflex urticaria"
"302166001","Cold urticaria with agglutinins (disorder)","Cold urticaria with agglutinins"
"302167005","Cold urticaria with cryoglobulins (disorder)","Cold urticaria with cryoglobulins"
"238506004","Cold-induced dermatosis (disorder)","Cold-induced dermatosis"
"238506004","Cold-induced dermatosis (disorder)","Cold-induced dermatosis"
"276689004","Coliform ophthalmia neonatorum (disorder)","Coliform ophthalmia neonatorum | Neonatal conjunctivitis due to E.coli | Ophthalmia neonatorum - coliform"
"276689004","Coliform ophthalmia neonatorum (disorder)","Coliform ophthalmia neonatorum | Neonatal conjunctivitis due to E.coli | Ophthalmia neonatorum - coliform"
"238846003","Collagen and elastic tissue disorders affecting skin (disorder)","Collagen and elastic tissue disorders affecting skin"
"399926001","Collagen nevus of skin (disorder)","Collagen naevus | Collagen naevus of skin | Collagen nevus | Collagen nevus of skin | Collagenoma"
"399926001","Collagen nevus of skin (disorder)","Collagen naevus | Collagen naevus of skin | Collagen nevus | Collagen nevus of skin | Collagenoma"
"72056000","Collar frictional alopecia (disorder)","Collar frictional alopecia"
"10242002","Collar gall (disorder)","Collar gall"
"238502002","Collier's stripes (disorder)","Collier stripes | Collier's stripes"
"201218001","Colloid acne (disorder)","Colloid acne"
"402684002","Colloid milium (disorder)","Colloid milium"
"402684002","Colloid milium (disorder)","Colloid milium"
"720639008","Coloboma, congenital heart disease, ichthyosiform dermatosis, intellectual disability ear anomaly syndrome (disorder)","CHIME (coloboma, congenital heart disease, ichthyosiform dermatosis, intellectual disability, ear anomaly) syndrome | CHIME syndrome | Coloboma, congenital heart disease, ichthyosiform dermatosis, intellectual disability ear anomaly syndrome | Neuroectodermal dysplasia CHIME type | Zunich Kaye syndrome"
"1332382002","Coloboma, osteopetrosis, microphthalmia, macrocephaly, albinism, deafness syndrome (disorder)","COMMAD (coloboma, osteopetrosis, microphthalmia, macrocephaly, albinism, deafness) syndrome | COMMAD syndrome | Coloboma, osteopetrosis, microphthalmia, macrocephaly, albinism, deafness syndrome"
"235774002","Colonic diverticular abscess (disorder)","Abscess of colon co-occurrent and due to diverticular disease of colon | Abscess with diverticular disease of colon | Colonic diverticular abscess | Diverticular abscess"
"235774002","Colonic diverticular abscess (disorder)","Abscess of colon co-occurrent and due to diverticular disease of colon | Abscess with diverticular disease of colon | Colonic diverticular abscess | Diverticular abscess"
"13220002","Color mutant alopecia (disorder)","Color mutant alopecia | Colour mutant alopecia"
"407452005","Combined Herpes simplex 1 and Herpes simplex 2 infection (disorder)","Combined Herpes simplex 1 and Herpes simplex 2 infection"
"407452005","Combined Herpes simplex 1 and Herpes simplex 2 infection (disorder)","Combined Herpes simplex 1 and Herpes simplex 2 infection"
"1336027001","Combined immunodeficiency due to RELA haploinsufficiency (disorder)","Combined immunodeficiency due to RELA haploinsufficiency"
"402552003","Combined melanocytic nevus (disorder)","Combined melanocytic naevus | Combined melanocytic nevus"
"238744006","Comedonal acne (disorder)","Comedonal acne"
"254674006","Comedonal cyst (disorder)","Comedonal cyst"
"247467008","Comedone (disorder)","Blackhead | Comedone"
"247467008","Comedone (disorder)","Blackhead | Comedone"
"235142002","Commissural lip pits (disorder)","Commissural lip pits"
"254807000","Common blue nevus of skin (disorder)","Common blue naevus of skin | Common blue nevus of skin"
"447471009","Community hospital acquired pressure ulcer (disorder)","Community hospital acquired pressure injury | Community hospital acquired pressure ulcer"
"403378004","Compensatory hyperhidrosis (disorder)","Compensatory hyperhidrosis"
"890430009","Complete agenesis of vermis (disorder)","Complete agenesis of vermis"
"1148528007","Complete cutaneous syndactyly of all digits of hand (disorder)","Complete cutaneous syndactyly of all digits of hand | Complete cutaneous syndactyly of hand | Simple syndactyly of all digits of hand | Simple syndactyly of hand | Webbed digits of hand"
"210207004","Complete disruption of kidney parenchyma with open wound into cavity (disorder)","Complete disruption of kidney parenchyma with open wound into abdominal cavity | Complete disruption of kidney parenchyma with open wound into cavity"
"210207004","Complete disruption of kidney parenchyma with open wound into cavity (disorder)","Complete disruption of kidney parenchyma with open wound into abdominal cavity | Complete disruption of kidney parenchyma with open wound into cavity"
"210567001","Complete division extensor tendon hand (disorder)","Complete division extensor tendon hand"
"210567001","Complete division extensor tendon hand (disorder)","Complete division extensor tendon hand"
"210547005","Complete division extensor tendon wrist (disorder)","Complete division extensor tendon wrist"
"210547005","Complete division extensor tendon wrist (disorder)","Complete division extensor tendon wrist"
"210568006","Complete division flexor tendon hand (disorder)","Complete division flexor tendon hand"
"210568006","Complete division flexor tendon hand (disorder)","Complete division flexor tendon hand"
"210548000","Complete division flexor tendon wrist (disorder)","Complete division flexor tendon wrist | Complete division of flexor tendon of wrist"
"210548000","Complete division flexor tendon wrist (disorder)","Complete division flexor tendon wrist | Complete division of flexor tendon of wrist"
"210516004","Complete division, biceps tendon (disorder)","Complete division, biceps tendon"
"210585008","Complete division, extensor digitorum tendon (disorder)","Complete division, extensor digitorum tendon | Traumatic complete division of extensor digitorum tendon"
"210585008","Complete division, extensor digitorum tendon (disorder)","Complete division, extensor digitorum tendon | Traumatic complete division of extensor digitorum tendon"
"210588005","Complete division, extensor pollicis longus tendon (disorder)","Complete division, extensor pollicis longus tendon"
"210588005","Complete division, extensor pollicis longus tendon (disorder)","Complete division, extensor pollicis longus tendon"
"210583001","Complete division, flexor digitorum profundus tendon (disorder)","Complete division, flexor digitorum profundus tendon"
"210583001","Complete division, flexor digitorum profundus tendon (disorder)","Complete division, flexor digitorum profundus tendon"
"210582006","Complete division, flexor digitorum superficialis tendon (disorder)","Complete division, flexor digitorum superficialis tendon"
"210582006","Complete division, flexor digitorum superficialis tendon (disorder)","Complete division, flexor digitorum superficialis tendon"
"210587000","Complete division, flexor pollicis longus tendon (disorder)","Complete division, flexor pollicis longus tendon"
"210587000","Complete division, flexor pollicis longus tendon (disorder)","Complete division, flexor pollicis longus tendon"
"210515000","Complete division, long head of biceps tendon (disorder)","Complete division, long head of biceps tendon"
"210695005","Complete division, patellar tendon (disorder)","Complete division of patellar tendon | Complete division, patellar tendon"
"210695005","Complete division, patellar tendon (disorder)","Complete division of patellar tendon | Complete division, patellar tendon"
"210696006","Complete division, tendo calcaneus (Achilles tendon) (disorder)","Complete division, tendo calcaneus (Achilles tendon)"
"210696006","Complete division, tendo calcaneus (Achilles tendon) (disorder)","Complete division, tendo calcaneus (Achilles tendon)"
"210517008","Complete division, triceps tendon (disorder)","Complete division, triceps tendon"
"210517008","Complete division, triceps tendon (disorder)","Complete division, triceps tendon"
"239199003","Complete flap loss (disorder)","Complete flap loss"
"1269383004","Complete lesion of thoracic spinal cord due to open subluxation of joint of thoracic spine (disorder)","Complete lesion of thoracic spinal cord due to open subluxation of joint of thoracic spine | Open spinal subluxation with complete thoracic cord lesion"
"110028004","Complete open fracture of maxilla (disorder)","Complete open fracture of maxilla | Open Le Fort III fracture | Open cranio-facial dysjunction fracture"
"27434004","Complete rupture of rotator cuff (disorder)","Complete rupture of rotator cuff"
"721334002","Complete traumatic amputation of external ear (disorder)","Complete traumatic amputation of external ear"
"721334002","Complete traumatic amputation of external ear (disorder)","Complete traumatic amputation of external ear"
"721334002","Complete traumatic amputation of external ear (disorder)","Complete traumatic amputation of external ear"
"721336000","Complete traumatic amputation of nose (disorder)","Complete traumatic amputation of nose"
"721336000","Complete traumatic amputation of nose (disorder)","Complete traumatic amputation of nose"
"721336000","Complete traumatic amputation of nose (disorder)","Complete traumatic amputation of nose"
"735513007","Complex burn of ankle (disorder)","Complex burn of ankle"
"762472008","Complex burn of face (disorder)","Complex burn of face"
"735512002","Complex burn of foot (disorder)","Complex burn of foot"
"735507003","Complex burn of genitalia (disorder)","Complex burn of genitalia"
"735511009","Complex burn of hand (disorder)","Complex burn of hand"
"762468009","Complex burn of head (disorder)","Complex burn of head"
"762488008","Complex burn of hip (disorder)","Complex burn of hip"
"762487003","Complex burn of lower limb (disorder)","Complex burn of lower limb"
"762469001","Complex burn of neck (disorder)","Complex burn of neck"
"735506007","Complex burn of perineum (disorder)","Complex burn of perineum"
"762478007","Complex burn of shoulder (disorder)","Complex burn of shoulder"
"762475005","Complex burn of trunk (disorder)","Complex burn of trunk"
"762479004","Complex burn of upper limb (disorder)","Complex burn of upper limb"
"735510005","Complex burn of wrist (disorder)","Complex burn of wrist"
"5170009","Complex dental caries (disorder)","Carious exposure of pulp | Complex dental caries | Complex dental cavity | Dental caries extending to pulp"
"110064003","Complex laceration of auricle of ear (disorder)","Complex laceration of auricle of ear | Complex laceration of pinna of ear"
"110101006","Complex laceration of buccal mucosa (disorder)","Complex laceration of buccal mucosa"
"110039001","Complex laceration of cheek (disorder)","Complex laceration of cheek"
"110079005","Complex laceration of chin (disorder)","Complex laceration of chin"
"110054007","Complex laceration of circumoral region of face (disorder)","Complex laceration of circumoral region of face | Complex laceration of perioral region of face"
"110054007","Complex laceration of circumoral region of face (disorder)","Complex laceration of circumoral region of face | Complex laceration of perioral region of face"
"110091001","Complex laceration of floor of mouth (disorder)","Complex laceration of floor of mouth"
"110059002","Complex laceration of forehead (disorder)","Complex laceration of forehead"
"110126002","Complex laceration of hard palate (disorder)","Complex laceration of hard palate"
"110096006","Complex laceration of labial mucosa (disorder)","Complex laceration of labial mucosa"
