"conceptId","fsn","synonyms"
"65523004","Abrasion AND/OR friction burn of axilla without infection (disorder)","Abrasion AND/OR friction burn of axilla without infection | Abrasion and/or friction burn of axilla without infection"
"79077003","Abrasion AND/OR friction burn of back with infection (disorder)","Abrasion AND/OR friction burn of back with infection | Abrasion and/or friction burn of back with infection"
"38484003","Abrasion AND/OR friction burn of back without infection (disorder)","Abrasion AND/OR friction burn of back without infection | Abrasion and/or friction burn of back without infection"
"45581006","Abrasion AND/OR friction burn of breast with infection (disorder)","Abrasion AND/OR friction burn of breast with infection | Abrasion and/or friction burn of breast with infection"
"19707006","Abrasion AND/OR friction burn of breast without infection (disorder)","Abrasion AND/OR friction burn of breast without infection | Abrasion and/or friction burn of breast without infection"
"9802006","Abrasion AND/OR friction burn of buttock with infection (disorder)","Abrasion AND/OR friction burn of buttock with infection | Abrasion and/or friction burn of buttock with infection"
"71816001","Abrasion AND/OR friction burn of buttock without infection (disorder)","Abrasion AND/OR friction burn of buttock without infection | Abrasion and/or friction burn of buttock without infection"
"66578000","Abrasion AND/OR friction burn of cheek with infection (disorder)","Abrasion AND/OR friction burn of cheek with infection | Abrasion and/or friction burn of cheek with infection"
"75767000","Abrasion AND/OR friction burn of cheek without infection (disorder)","Abrasion AND/OR friction burn of cheek without infection | Abrasion and/or friction burn of cheek without infection"
"111707007","Abrasion AND/OR friction burn of chest wall with infection (disorder)","Abrasion AND/OR friction burn of chest wall with infection | Abrasion and/or friction burn of chest wall with infection"
"7739007","Abrasion AND/OR friction burn of chest wall without infection (disorder)","Abrasion AND/OR friction burn of chest wall without infection | Abrasion and/or friction burn of chest wall without infection"
"61383005","Abrasion AND/OR friction burn of ear with infection (disorder)","Abrasion AND/OR friction burn of ear with infection | Abrasion and/or friction burn of ear with infection"
"6733004","Abrasion AND/OR friction burn of ear without infection (disorder)","Abrasion AND/OR friction burn of ear without infection | Abrasion and/or friction burn of ear without infection"
"111712008","Abrasion AND/OR friction burn of elbow with infection (disorder)","Abrasion AND/OR friction burn of elbow with infection | Abrasion and/or friction burn of elbow with infection"
"68058009","Abrasion AND/OR friction burn of elbow without infection (disorder)","Abrasion AND/OR friction burn of elbow without infection | Abrasion and/or friction burn of elbow without infection"
"111703006","Abrasion AND/OR friction burn of face with infection (disorder)","Abrasion AND/OR friction burn of face with infection | Abrasion and/or friction burn of face with infection"
"66176005","Abrasion AND/OR friction burn of face without infection (disorder)","Abrasion AND/OR friction burn of face without infection | Abrasion and/or friction burn of face without infection"
"19048001","Abrasion AND/OR friction burn of finger with infection (disorder)","Abrasion AND/OR friction burn of finger with infection"
"19048001","Abrasion AND/OR friction burn of finger with infection (disorder)","Abrasion AND/OR friction burn of finger with infection"
"70098006","Abrasion AND/OR friction burn of finger without infection (disorder)","Abrasion AND/OR friction burn of finger without infection | Abrasion and/or friction burn of finger without infection"
"49454000","Abrasion AND/OR friction burn of flank with infection (disorder)","Abrasion AND/OR friction burn of flank with infection | Abrasion and/or friction burn of flank with infection"
"49454000","Abrasion AND/OR friction burn of flank with infection (disorder)","Abrasion AND/OR friction burn of flank with infection | Abrasion and/or friction burn of flank with infection"
"49454000","Abrasion AND/OR friction burn of flank with infection (disorder)","Abrasion AND/OR friction burn of flank with infection | Abrasion and/or friction burn of flank with infection"
"90947008","Abrasion AND/OR friction burn of flank without infection (disorder)","Abrasion AND/OR friction burn of flank without infection | Abrasion and/or friction burn of flank without infection"
"43448005","Abrasion AND/OR friction burn of foot with infection (disorder)","Abrasion AND/OR friction burn of foot with infection"
"24328004","Abrasion AND/OR friction burn of foot without infection (disorder)","Abrasion AND/OR friction burn of foot without infection | Abrasion and/or friction burn of foot without infection"
"75156007","Abrasion AND/OR friction burn of forearm with infection (disorder)","Abrasion AND/OR friction burn of forearm with infection"
"26156003","Abrasion AND/OR friction burn of forearm without infection (disorder)","Abrasion AND/OR friction burn of forearm without infection | Abrasion and/or friction burn of forearm without infection"
"26156003","Abrasion AND/OR friction burn of forearm without infection (disorder)","Abrasion AND/OR friction burn of forearm without infection | Abrasion and/or friction burn of forearm without infection"
"49524007","Abrasion AND/OR friction burn of groin with infection (disorder)","Abrasion AND/OR friction burn of groin with infection | Abrasion and/or friction burn of groin with infection"
"49524007","Abrasion AND/OR friction burn of groin with infection (disorder)","Abrasion AND/OR friction burn of groin with infection | Abrasion and/or friction burn of groin with infection"
"30148002","Abrasion AND/OR friction burn of groin without infection (disorder)","Abrasion AND/OR friction burn of groin without infection | Abrasion and/or friction burn of groin without infection"
"60203004","Abrasion AND/OR friction burn of gum with infection (disorder)","Abrasion AND/OR friction burn of gum with infection | Abrasion and/or friction burn of gum with infection | Gingival abrasion with infection"
"2825006","Abrasion AND/OR friction burn of gum without infection (disorder)","Abrasion AND/OR friction burn of gum without infection | Abrasion and/or friction burn of gum without infection | Abrasion of gingivae | Gingival abrasion"
"36307001","Abrasion AND/OR friction burn of hand with infection (disorder)","Abrasion AND/OR friction burn of hand with infection"
"40762003","Abrasion AND/OR friction burn of hand without infection (disorder)","Abrasion AND/OR friction burn of hand without infection | Abrasion and/or friction burn of hand without infection"
